"","v1","v2","mean_diff","lci_95","uci_95","p","veg1","veg2"
"1",2,0,-1.71261553055921,-3.53166548970347,0.106434428585044,0.0601044674085075,"beach","conifer forest"
"2",2,2,0,NA,NA,NA,"beach","beach"
"3",2,3,-0.974091436429374,-1.68603937082558,-0.26214350203317,0.0169718033954953,"beach","beachgrass dune"
"4",2,4,-1.39167733309939,-2.38910227640733,-0.394252389791449,0.0157636114497397,"beach","coastal scrub"
"5",2,5,-3.08288219192084,-5.79210898111206,-0.373655402729619,0.0392749636909494,"beach","fruit tree"
"6",2,6,-2.60653920465255,-4.20395785929106,-1.00912055001405,0.00853493434712315,"beach","marsh"
"7",2,7,-2.66257299200085,-3.90181548389607,-1.42333050010563,0.00266573959129246,"beach","meadow"
"8",2,8,-1.14807677752345,-3.34727920776383,1.05112565271693,0.195223937850811,"beach","pasture"
"9",2,9,-3.18641848487287,-4.35875226572739,-2.01408470401836,0.000924698384686525,"beach","swale"
"10",3,0,-0.827448401617853,-1.71325503374474,0.0583582305090348,0.06430944110437,"beachgrass dune","conifer forest"
"11",3,2,0.974091436429374,0.26214350203317,1.68603937082558,0.0169718033954953,"beachgrass dune","beach"
"12",3,3,0,NA,NA,NA,"beachgrass dune","beachgrass dune"
"13",3,4,-1.03048853485379,-1.64566019891247,-0.415316870795115,0.00358232460584528,"beachgrass dune","coastal scrub"
"14",3,5,-2.29469611204402,-3.55475734381857,-1.03463488026947,0.0102209860223583,"beachgrass dune","fruit tree"
"15",3,6,-1.78214424733536,-2.57215567119382,-0.992132823476904,0.000425352086460602,"beachgrass dune","marsh"
"16",3,7,-1.69797618279625,-2.23494011135974,-1.16101225423276,2.3917302270591e-05,"beachgrass dune","meadow"
"17",3,8,-0.747679023126954,-2.17169438693247,0.676336340678558,0.235003377379831,"beachgrass dune","pasture"
"18",3,9,-2.23061268826626,-2.72455601379874,-1.73666936273379,7.85497388932767e-07,"beachgrass dune","swale"
"19",4,0,0.231966011635281,-0.24238626499098,0.706318288261543,0.315304942030538,"coastal scrub","conifer forest"
"20",4,2,1.39167733309939,0.394252389791449,2.38910227640733,0.0157636114497397,"coastal scrub","beach"
"21",4,3,1.03048853485379,0.415316870795115,1.64566019891247,0.00358232460584528,"coastal scrub","beachgrass dune"
"22",4,4,0,NA,NA,NA,"coastal scrub","coastal scrub"
"23",4,5,-1.3048352631974,-3.30067303131633,0.691002504921524,0.128926906914489,"coastal scrub","fruit tree"
"24",4,6,-0.617393637077051,-1.17724029121704,-0.0575469829370638,0.0327145829233249,"coastal scrub","marsh"
"25",4,7,-0.338346956063484,-0.793451743883188,0.11675783175622,0.13458056852442,"coastal scrub","meadow"
"26",4,8,0.297986133568183,-0.40781780678813,1.0037900739245,0.358779024308916,"coastal scrub","pasture"
"27",4,9,-0.944721879894411,-1.36572494089303,-0.523718818895788,0.000214326020279748,"coastal scrub","swale"
"28",5,0,1.05332572925431,0.152245840642149,1.95440561786647,0.0338036392159866,"fruit tree","conifer forest"
"29",5,2,3.08288219192084,0.373655402729619,5.79210898111206,0.0392749636909494,"fruit tree","beach"
"30",5,3,2.29469611204402,1.03463488026947,3.55475734381857,0.0102209860223583,"fruit tree","beachgrass dune"
"31",5,4,1.3048352631974,-0.691002504921524,3.30067303131633,0.128926906914489,"fruit tree","coastal scrub"
"32",5,5,0,NA,NA,NA,"fruit tree","fruit tree"
"33",5,6,0.640065082546098,-0.275443846402155,1.55557401149435,0.112522365654315,"fruit tree","marsh"
"34",5,7,0.624162230705982,-0.387626622263948,1.63595108367591,0.144398104936756,"fruit tree","meadow"
"35",5,8,1.86450570512369,0.463701295903608,3.26531011434378,0.0240823648294202,"fruit tree","pasture"
"36",5,9,0.114935207085607,-1.17573277480788,1.40560318897909,0.795302154823351,"fruit tree","swale"
"37",6,0,0.849359648712332,0.170864534428774,1.52785476299589,0.0173357555345183,"marsh","conifer forest"
"38",6,2,2.60653920465255,1.00912055001405,4.20395785929106,0.00853493434712315,"marsh","beach"
"39",6,3,1.78214424733536,0.992132823476904,2.57215567119382,0.000425352086460602,"marsh","beachgrass dune"
"40",6,4,0.617393637077051,0.0575469829370638,1.17724029121704,0.0327145829233249,"marsh","coastal scrub"
"41",6,5,-0.640065082546098,-1.55557401149435,0.275443846402155,0.112522365654315,"marsh","fruit tree"
"42",6,6,0,NA,NA,NA,"marsh","marsh"
"43",6,7,0.279046681013567,-0.148120762382928,0.706214124410062,0.185113512417186,"marsh","meadow"
"44",6,8,0.847083714806851,0.0378340184830341,1.65633341113067,0.0422559509278866,"marsh","pasture"
"45",6,9,-0.32732824281736,-0.771011898092512,0.116355412457792,0.137387286322406,"marsh","swale"
"46",7,0,0.570312967698765,-0.00951827048187003,1.1501442058794,0.0534374677333516,"meadow","conifer forest"
"47",7,2,2.66257299200085,1.42333050010563,3.90181548389607,0.00266573959129246,"meadow","beach"
"48",7,3,1.69797618279625,1.16101225423276,2.23494011135974,2.3917302270591e-05,"meadow","beachgrass dune"
"49",7,4,0.338346956063484,-0.11675783175622,0.793451743883188,0.13458056852442,"meadow","coastal scrub"
"50",7,5,-0.624162230705982,-1.63595108367591,0.387626622263948,0.144398104936756,"meadow","fruit tree"
"51",7,6,-0.279046681013567,-0.706214124410062,0.148120762382928,0.185113512417186,"meadow","marsh"
"52",7,7,0,NA,NA,NA,"meadow","meadow"
"53",7,8,0.618010321201608,-0.149955744740485,1.3859763871437,0.100588674352311,"meadow","pasture"
"54",7,9,-0.606374923830927,-0.929616215929555,-0.2831336317323,0.00108368414136096,"meadow","swale"
"55",8,0,-0.452654454408983,-1.06152516802725,0.156216259209284,0.124808576907958,"pasture","conifer forest"
"56",8,2,1.14807677752345,-1.05112565271693,3.34727920776383,0.195223937850811,"pasture","beach"
"57",8,3,0.747679023126954,-0.676336340678558,2.17169438693247,0.235003377379831,"pasture","beachgrass dune"
"58",8,4,-0.297986133568183,-1.0037900739245,0.40781780678813,0.358779024308916,"pasture","coastal scrub"
"59",8,5,-1.86450570512369,-3.26531011434378,-0.463701295903608,0.0240823648294202,"pasture","fruit tree"
"60",8,6,-0.847083714806851,-1.65633341113067,-0.0378340184830341,0.0422559509278866,"pasture","marsh"
"61",8,7,-0.618010321201608,-1.3859763871437,0.149955744740485,0.100588674352311,"pasture","meadow"
"62",8,8,0,NA,NA,NA,"pasture","pasture"
"63",8,9,-1.397097116912,-2.09160281559638,-0.702591418227629,0.00166869465266972,"pasture","swale"
"64",9,0,1.17668789152969,0.746860749601699,1.60651503345769,2.69263059783722e-05,"swale","conifer forest"
"65",9,2,3.18641848487287,2.01408470401836,4.35875226572739,0.000924698384686525,"swale","beach"
"66",9,3,2.23061268826626,1.73666936273379,2.72455601379874,7.85497388932767e-07,"swale","beachgrass dune"
"67",9,4,0.944721879894411,0.523718818895788,1.36572494089303,0.000214326020279748,"swale","coastal scrub"
"68",9,5,-0.114935207085607,-1.40560318897909,1.17573277480788,0.795302154823351,"swale","fruit tree"
"69",9,6,0.32732824281736,-0.116355412457792,0.771011898092512,0.137387286322406,"swale","marsh"
"70",9,7,0.606374923830927,0.2831336317323,0.929616215929555,0.00108368414136096,"swale","meadow"
"71",9,8,1.397097116912,0.702591418227629,2.09160281559638,0.00166869465266972,"swale","pasture"
"72",9,9,0,NA,NA,NA,"swale","swale"
